Cust_Id,Calendar_Dt,Amt_LE
6058243,11/4/2019,52.48
6058243,11/5/2019,22.92
6058243,11/6/2019,80.82
6058243,11/7/2019,14.14
6058243,11/8/2019,11.27
6058243,11/9/2019,1.51
6058243,11/10/2019,43.68
6058243,11/14/2019,41.34
6058243,11/16/2019,77.25
6058243,11/17/2019,12.38
6058243,11/18/2019,73.68
6058243,11/19/2019,105.2
6058243,11/20/2019,0.14
6058243,11/23/2019,28.03
6058243,12/3/2019,9.43
6058243,12/5/2019,43.4
6058243,12/10/2019,12.25
6058243,12/12/2019,44.97
6058243,12/19/2019,98.43
6058243,12/21/2019,53.08
6058243,12/26/2019,47.88
6058243,12/29/2019,166.19
6058243,12/30/2019,0.34
6060985,11/1/2019,85.82
6060985,11/2/2019,101.73
6060985,11/3/2019,224.31
6060985,11/4/2019,112.27
6060985,11/5/2019,105.73
6060985,11/6/2019,144.04
6060985,11/7/2019,212.85
6060985,11/8/2019,296.62
6060985,11/9/2019,186.34
6060985,11/10/2019,584.16
6060985,11/11/2019,160.74
6060985,11/12/2019,178.36
6060985,11/13/2019,216.96
6060985,11/14/2019,179.38
6060985,11/15/2019,339.95
6060985,11/16/2019,213.79
6060985,11/17/2019,224.4
6060985,11/18/2019,281.8
6060985,11/19/2019,160.89
6060985,11/20/2019,153.91
6060985,11/21/2019,236.18
6060985,11/22/2019,175.1
6060985,11/23/2019,263.88
6060985,11/24/2019,73.4
6060985,11/25/2019,46.2
6060985,11/26/2019,156.26
6060985,11/27/2019,135.55
6060985,11/28/2019,146.1
6060985,11/29/2019,4.26
6060985,12/2/2019,75.66
6060985,12/3/2019,184.3
6060985,12/4/2019,185.16
6060985,12/5/2019,164.18
6060985,12/6/2019,141.48
6060985,12/7/2019,152.92
6060985,12/8/2019,232.29
6060985,12/9/2019,19.59
6060985,12/10/2019,4.22
6060985,12/11/2019,124.86
6060985,12/12/2019,229.36
6060985,12/13/2019,150.63
6060985,12/14/2019,201.37
6060985,12/15/2019,250.26
6060985,12/16/2019,173.54
6060985,12/17/2019,155.6
6060985,12/18/2019,239.63
6060985,12/19/2019,126.81
6060985,12/20/2019,176.28
6060985,12/21/2019,362.99
6060985,12/22/2019,134.94
6060985,12/23/2019,148.24
6060985,12/24/2019,79.49
6060985,12/25/2019,128.31
6060985,12/26/2019,116.05
6060985,12/27/2019,209.72
6060985,12/28/2019,204.58
6060985,12/29/2019,222.51
6060985,12/30/2019,206.62
6060985,12/31/2019,145.69
6089205,11/1/2019,0.96
6089205,11/3/2019,0.32
6089205,11/4/2019,1.28
6089205,11/5/2019,0.32
